时间量(s),阀门开度(%),海拔(m),坡度(‰),速度v（km/h）,隧道长度(m),每1s,每3s
0.88766,100,653,8,376,5000,0.21791,1.91407
0.89801,100,654,8,377,5000,0.21585,1.91856
0.91164,100,655,8,400,5000,0.21825,1.92298
0.91533,100,656,8,400,5000,0.21897,1.92298
0.92019,100,657,8,396,5000,0.21797,1.92756
0.92659,100,658,8,397,5000,0.21927,1.92756
0.93248,100,659,8,398,5000,0.21811,1.93305
0.94278,100,660,8,400,5000,0.21884,1.93738
0.95633,100,661,8,400,5000,0.22061,1.93964
0.95993,100,662,8,400,5000,0.21988,1.94345
0.96466,100,663,8,400,5000,0.22048,1.94345
0.97089,100,664,8,400,5000,0.22062,1.94838
0.977,100,665,8,400,5000,0.21943,1.94959
0.98714,100,666,8,400,5000,0.21994,1.95323
1.0005,100,667,8,400,5000,0.22237,1.95718
1.00383,100,668,8,405,5000,0.22167,1.95718
1.00821,100,669,8,406,5000,0.22227,1.96103
1.01398,100,670,8,407,5000,0.22257,1.96103
1.0207,100,671,8,408,5000,0.22122,1.96568
1.02528,100,672,8,409,5000,0.22274,1.96722
1.03646,100,673,8,400,5000,0.2236,1.96922
1.05038,100,674,8,400,5000,0.22369,1.97439
1.05526,100,675,8,400,5000,0.2244,1.97439
1.06168,100,676,8,400,5000,0.22414,1.97841
1.06754,100,677,8,400,5000,0.22293,1.98053
1.07785,100,678,8,400,5000,0.2235,1.98211
1.09144,100,679,8,400,5000,0.22498,1.98566
1.09507,100,680,8,400,5000,0.2242,1.98878
1.09984,100,681,8,399,5000,0.22471,1.98878
1.10613,100,682,8,401,5000,0.22588,1.98878
1.11217,100,683,8,400,5000,0.22461,1.99278
1.12236,100,684,8,400,5000,0.22536,1.99542
1.13579,100,685,8,400,5000,0.22688,1.99867
1.13922,100,686,8,400,5000,0.22615,1.99867
1.14372,100,687,8,405,5000,0.22671,2.00152
1.14966,100,688,8,406,5000,0.22682,2.00152
1.15616,100,689,8,397,5000,0.22538,2.00518
1.16059,100,690,8,408,5000,0.22695,2.00633
1.17187,100,691,8,400,5000,0.22776,2.00941
1.18566,100,692,8,400,5000,0.22672,2.01047
1.19062,100,693,8,400,5000,0.22711,2.01317
1.19716,100,694,8,400,5000,0.22716,2.01317
1.20287,100,695,8,400,5000,0.22848,2.01639
1.21329,100,696,8,399,5000,0.22622,2.01886
1.22701,100,697,8,400,5000,0.22819,2.02241
1.23082,100,698,8,401,5000,0.22867,2.02241
1.23583,100,699,8,402,5000,0.22924,2.02241
1.24244,100,700,8,403,5000,0.22896,2.02529
1.24805,100,701,8,400,5000,0.22777,2.02687
1.25854,100,702,8,400,5000,0.22821,2.02801
1.27234,100,703,8,400,5000,0.22954,2.03039
1.27625,100,704,8,400,5000,0.23015,2.03265
1.28141,100,705,8,400,5000,0.22899,2.03265
1.2882,100,706,8,400,5000,0.22893,2.03265
1.29357,100,707,8,395,5000,0.23013,2.03548
1.30421,100,708,8,385,5000,0.22792,2.03751
1.31823,100,709,8,386,5000,0.23091,2.0395
1.32243,100,710,8,387,5000,0.22998,2.04154
1.32795,100,711,8,388,5000,0.23042,2.04154
1.335,100,712,8,400,5000,0.23006,2.04154
1.33979,100,713,8,400,5000,0.22905,2.04399
1.35083,100,714,8,400,5000,0.22895,2.04594
1.36495,100,715,8,400,5000,0.23158,2.0487
1.36969,100,716,8,400,5000,0.23052,2.0487
1.37593,100,717,8,400,5000,0.23174,2.05097
1.38203,100,718,8,400,5000,0.23036,2.05149
1.39218,100,719,8,400,5000,0.23085,2.05313
1.40556,100,720,8,400,5000,0.23212,2.05499
1.40891,100,721,8,404,5000,0.23137,2.05499
1.41332,100,722,8,400,5000,0.23189,2.05673
1.41913,100,723,8,400,5000,0.23202,2.05673
1.4258,100,724,8,400,5000,0.23055,2.05872
1.43034,100,725,8,400,5000,0.23197,2.05938
1.44155,100,726,8,400,5000,0.23262,2.06117
1.45543,100,727,8,400,5000,0.23259,2.0618
1.46033,100,728,8,400,5000,0.23146,2.0634
1.46678,100,729,8,400,5000,0.23234,2.0634
1.4726,100,730,8,400,5000,0.23107,2.06522
1.48294,100,731,8,400,5000,0.23125,2.06663
1.49656,100,732,8,400,5000,0.23146,2.0674
1.50023,100,733,8,401,5000,0.23058,2.06873
1.50506,100,734,8,400,5000,0.23058,2.06873
1.51142,100,735,8,400,5000,0.23012,2.07043
1.51735,100,736,8,400,5000,0.2288,2.07083
1.52762,100,737,8,400,5000,0.22804,2.07202
1.54114,100,738,8,400,5000,0.22684,2.07335
1.54467,100,739,8,404,5000,0.22603,2.07335
1.54932,100,740,8,400,5000,0.22521,2.07463
1.55545,100,741,8,400,5000,0.224,2.07463
1.5617,100,742,8,401,5000,0.22261,2.07602
1.57175,100,743,8,400,5000,0.22039,2.07715
1.585,100,744,8,400,5000,0.21731,2.07781
1.58817,100,744,0,400,5000,0.21659,2.07885
1.59234,100,744,0,399,5000,0.21563,2.07885
1.59784,100,744,0,400,5000,0.21439,2.07885
1.60492,100,744,0,400,5000,0.21283,2.08043
1.60974,100,744,0,385,5000,0.21174,2.08081
1.62076,100,744,0,400,5000,0.20912,2.08193
1.63489,100,744,0,400,5000,0.20582,2.08342
1.63962,100,744,0,375,5000,0.20474,2.08342
1.64585,100,744,0,376,5000,0.20332,2.08342
1.65196,100,744,0,377,5000,0.20194,2.085
1.6621,100,744,0,400,5000,0.19972,2.08543
1.67546,100,744,0,400,5000,0.19651,2.08645
1.67878,100,744,0,396,5000,0.19572,2.08727
1.68315,100,744,0,397,5000,0.19472,2.08727
1.68892,100,744,0,398,5000,0.1934,2.08727
1.69565,100,744,0,400,5000,0.19191,2.08827
1.70023,100,744,0,400,5000,0.19091,2.08858
1.71141,100,744,0,400,5000,0.1882,2.08943
1.72534,100,744,0,400,5000,0.18491,2.0906
1.7302,100,744,0,400,5000,0.18379,2.0906
1.73661,100,744,0,400,5000,0.18234,2.0906
1.74249,100,744,0,400,5000,0.18102,2.09184
1.7528,100,744,0,400,5000,0.18322,2.09216
1.76637,100,744,0,400,5000,0.22316,2.09293
1.76998,100,744,0,400,5000,0.22316,2.09366
1.77474,100,744,0,400,5000,0.23745,2.09366
1.781,100,744,0,400,5000,0.25081,2.09366
1.78707,100,744,0,400,5000,0.25081,2.09443
1.79725,100,744.1,4.5,400,5000,0.27524,2.09502
1.8,100,744.2,4.5,400,5000,0.27524,2.09502
1.81427,100,744.3,4.5,400,5000,0.32862,2.0957
1.81879,100,744.4,4.5,400,5000,0.34376,2.09623
1.82475,100,744.5,4.5,400,5000,0.36041,2.09623
1.83109,100,744.6,4.5,400,5000,0.37192,2.09702
1.83544,100,744.7,4.5,400,5000,0.37192,2.09728
1.84669,100,744.8,4.5,400,5000,0.40182,2.09796
1.86023,100,744.9,4.5,400,5000,0.45205,2.09818
1.86506,100,745,4.5,400,5000,0.46918,2.09876
1.87143,100,745.1,4.5,400,5000,0.48547,2.09876
1.87724,100,745.2,4.5,400,5000,0.51342,2.09948
1.88747,100,745.3,4.5,400,5000,0.51342,2.10005
1.90094,100,745.4,4.5,400,5000,0.57103,2.10034
1.90442,100,745.5,4.5,400,5000,0.58647,2.10084
1.90899,100,745.6,4.5,400,5000,0.58647,2.10084
1.91502,100,745.7,4.5,400,5000,0.6181,2.10084
1.92127,100,745.8,4.5,400,5000,0.6181,2.10164
1.92557,100,745.9,4.5,405,5000,0.6181,2.10187
1.93685,100,746,4.5,406,5000,0.64811,2.10247
1.95035,100,746.1,4.5,397,5000,0.71443,2.10271
1.95523,100,746.2,4.5,408,5000,0.71443,2.10323
1.96165,100,746.3,4.5,400,5000,0.74241,2.10323
1.96739,100,746.4,4.5,400,5000,0.74241,2.10392
1.97767,100,746.5,4.5,400,5000,0.77187,2.10442
1.99121,100,746.6,4.5,400,5000,0.81932,2.10473
1.99477,100,746.7,4.5,400,5000,0.81932,2.10522
1.99946,100,746.8,4.5,399,5000,0.83534,2.10522
2.00564,100,746.9,4.5,400,5000,0.84994,2.10585
2.0117,100,747,4.5,401,5000,0.84994,2.10619
2.02176,100,747.1,4.5,402,5000,0.87512,2.10647
2.03501,100,747.2,4.5,403,5000,0.92609,2.10713
2.03819,100,747.3,4.5,400,5000,0.92609,2.10713
2.04237,100,747.4,4.5,400,5000,0.93974,2.10766
2.04788,100,747.5,4.5,400,5000,0.95505,2.10766
2.05481,100,747.6,4.5,400,5000,0.96552,2.10847
2.05956,100,747.7,4.5,400,5000,0.96552,2.10867
2.07053,100,747.8,4.5,400,5000,0.99074,2.10938
2.08444,100,747.9,4.5,395,5000,1.03187,2.10961
2.08903,100,748,4.5,385,5000,1.04525,2.11022
2.09507,100,748.1,4.5,386,5000,1.05832,2.11022
2.10131,100,748.2,4.5,387,5000,1.05832,2.11108
2.10559,100,748.3,4.5,388,5000,1.0794,2.11129
2.11689,100,748.4,4.5,400,5000,1.10656,2.11201
2.13038,100,748.5,4.5,400,5000,1.13147,2.11224
2.13526,100,748.6,4.5,400,5000,1.14524,2.1129
2.1417,100,748.7,4.5,400,5000,1.15518,2.1129
2.14742,100,748.8,4.5,400,5000,1.15518,2.11378
2.15772,100,748.9,4.5,400,5000,1.17585,2.11444
2.17128,100,749,4.5,400,5000,1.21023,2.1148
2.17486,100,749.1,4.5,400,5000,1.22051,2.11541
2.17958,100,749.2,4.5,400,5000,1.22051,2.11541
2.18579,100,749.3,4.5,404,5000,1.24124,2.11626
2.1918,100,749.4,4.5,400,5000,1.24124,2.11647
2.2019,100,749.5,4.5,400,5000,1.26058,2.11705
2.2152,100,749.6,4.5,400,5000,1.29233,2.11785
2.21844,100,749.7,4.5,400,5000,1.29233,2.11785
2.22271,100,749.8,4.5,400,5000,1.3024,2.1186
2.22833,100,749.9,4.5,400,5000,1.31274,2.1186
2.23511,100,750,4.5,400,5000,1.31978,2.1196
2.23977,100,750.1,4.5,400,5000,1.31978,2.11991
2.25081,100,750.2,4.5,400,5000,1.33784,2.12032
2.26464,100,750.3,4.5,400,5000,1.36659,2.12106
2.26929,100,750.4,4.5,400,5000,1.37622,2.12183
2.27541,100,750.5,4.5,401,5000,1.38502,2.12183
2.28154,100,750.6,4.5,400,5000,1.38502,2.12277
2.29156,100,750.7,4.5,400,5000,1.40004,2.12354
2.30475,100,750.8,4.5,400,5000,1.43026,2.12394
2.30785,100,750.9,4.5,400,5000,1.43026,2.12464
2.31193,100,751,4.5,400,5000,1.43831,2.12464
2.31731,100,751.1,4.5,404,5000,1.44748,2.12464
2.32439,100,751.2,4.5,400,5000,1.4537,2.12584
2.32927,100,751.3,4.5,400,5000,1.4537,2.12614
2.34016,100,751.4,4.5,401,5000,1.4686,2.12702
2.35419,100,751.5,4.5,400,5000,1.49273,2.12737
2.3587,100,751.6,4.5,400,5000,1.50055,2.12814
2.36463,100,751.7,4.5,400,5000,1.5082,2.12814
2.37101,100,751.8,4.5,399,5000,1.5082,2.1292
2.37539,100,751.9,4.5,400,5000,1.52057,2.12954
2.38662,100,752,4.5,400,5000,1.5364,2.13043
2.4002,100,752.1,4.5,385,5000,1.5507,2.13075
2.40502,100,752.2,4.5,400,5000,1.55862,2.13157
2.41138,100,752.3,4.5,400,5000,1.56457,2.13157
2.41721,100,752.4,4.5,375,5000,1.56457,2.13258
2.42744,100,752.5,4.5,376,5000,1.57652,2.1334
2.44091,100,752.6,4.5,377,5000,1.59617,2.13381
2.44438,100,752.7,4.5,400,5000,1.60197,2.13456
2.44895,100,752.8,4.5,400,5000,1.60197,2.13456
2.45496,100,752.9,4.5,396,5000,1.61459,2.13456
2.46123,100,753,4.5,397,5000,1.61459,2.13575
2.46554,100,753.1,4.5,398,5000,1.62579,2.13605
2.47683,100,753.2,4.5,400,5000,1.62579,2.13698
2.49034,100,753.3,4.5,400,5000,1.65017,2.13729
2.49521,100,753.4,4.5,400,5000,1.65017,2.13813
2.50163,100,753.5,4.5,400,5000,1.66064,2.13813
2.50738,100,753.6,4.5,400,5000,1.66064,2.13914
2.51766,100,753.7,4.5,400,5000,1.67107,2.1399
2.5312,100,753.8,4.5,400,5000,1.68786,2.14067
2.53476,100,753.9,4.5,400,5000,1.68786,2.14067
2.53945,100,754,4.5,400,5000,1.69339,2.14153
2.54562,100,754.1,4.5,400,5000,1.69866,2.14153
2.55169,100,754.2,4.5,400,5000,1.69866,2.14251
2.56174,100,754.3,4.5,400,5000,1.70688,2.14283
2.57499,100,754.4,4.5,400,5000,1.72232,2.14166
2.57816,100,754.5,4.5,400,5000,1.72635,2.14197
2.58234,100,754.6,4.5,400,5000,1.72566,2.14128
2.58784,100,754.7,4.5,400,5000,1.73013,2.14009
2.59477,100,754.8,4.5,400,5000,1.7321,2.13942
2.59954,100,754.9,4.5,400,5000,1.7306,2.13818
2.61049,100,755,4.5,400,5000,1.7346,2.13455
2.62442,100,755.1,4.5,400,5000,1.74099,2.12719
2.62899,100,755.2,4.5,400,5000,1.74261,2.12526
2.635,100,755.3,4.5,400,5000,1.74335,2.12132
2.64126,100,755.4,4.5,400,5000,1.74189,2.11771
2.64556,100,755.5,4.5,400,5000,1.73851,2.11461
2.65682,100,755.6,4.5,400,5000,1.73603,2.10506
2.67034,100,755.7,4.5,400,5000,1.734,2.09069
2.67519,100,755.8,4.5,400,5000,1.73265,2.08594
2.68157,100,755.9,4.5,400,5000,1.72877,2.07808
2.68734,100,756,4.5,400,5000,1.7279,2.07157
2.69756,100,756.1,4.5,400,5000,1.7133,2.05771
2.711,100,756.2,4.5,400,5000,1.70482,2.0365
2.71448,100,756.3,4.5,400,5000,1.70253,2.03152
2.71905,100,756.4,4.5,400,5000,1.69479,2.02378
2.72506,100,756.5,4.5,400,5000,1.69129,2.01319
2.7313,100,756.6,4.5,400,5000,1.67979,2.00268
2.73559,100,756.7,4.5,400,5000,1.67807,1.99489
2.74682,100,756.8,4.5,400,5000,1.6553,1.97299
2.76033,100,756.9,4.5,400,5000,1.63995,1.94397
2.76516,100,757,4.5,400,5000,1.62935,1.93409
2.77151,100,757.1,4.5,400,5000,1.62096,1.91979
2.7773,100,757.2,4.5,405,5000,1.6076,1.90738
2.78747,100,757.3,4.5,406,5000,1.5892,1.88362
2.80084,100,757.4,4.5,397,5000,1.56527,1.85075
2.80425,100,757.5,4.5,408,5000,1.55674,1.84222
2.80873,100,757.6,4.5,400,5000,1.54858,1.83144
2.81462,100,757.7,4.5,400,5000,1.53636,1.8163
2.821,100,757.8,4.5,400,5000,1.51971,1.80049
2.82538,100,757.9,4.5,400,5000,1.51324,1.78927
2.8365,100,758,4.5,400,5000,1.48979,1.75971
2.85012,100,758.1,4.5,399,5000,1.45867,1.7233
2.85486,100,758.2,4.5,400,5000,1.44576,1.71038
2.8611,100,758.3,4.5,401,5000,1.43394,1.69406
2.86702,100,758.4,4.5,402,5000,1.41765,1.67791
2.87707,100,758.5,4.5,403,5000,1.39462,1.65055
2.89028,100,758.6,4.5,400,5000,1.36568,1.61425
2.89351,100,758.7,4.5,400,5000,1.35675,1.60532
2.89775,100,758.8,4.5,400,5000,1.34752,1.5941
2.90333,100,758.9,4.5,400,5000,1.33472,1.57866
2.91011,100,759,4.5,400,5000,1.31774,1.56063
2.91477,100,759.1,4.5,400,5000,1.30489,1.54803
2.92568,100,759.2,4.5,395,5000,1.27945,1.51836
2.93955,100,759.3,4.5,385,5000,1.24888,1.48125
2.94412,100,759.4,4.5,386,5000,1.23907,1.46898
2.95011,100,759.5,4.5,387,5000,1.22521,1.45338
2.95634,100,759.6,4.5,388,5000,1.20858,1.43691
2.96061,100,759.7,4.5,400,5000,1.20104,1.42576
2.97179,100,759.8,4.5,400,5000,1.17651,1.39685
2.98531,100,759.9,4.5,400,5000,1.1462,1.36251
2.99011,100,760,4.5,400,5000,1.13391,1.35022
2.99642,100,760.1,4.5,400,5000,1.12184,1.3342
3.00223,100,760.2,4.5,400,5000,1.10724,1.32048
3.01234,100,760.5,15,400,5000,1.08591,1.29553
3.02562,100,760.8,15,400,5000,1.0596,1.26359
3.02895,100,761.1,15,400,5000,1.05162,1.25561
3.03333,100,761.4,15,404,5000,1.04313,1.24559
3.03908,100,761.7,15,400,5000,1.03147,1.23195
3.04562,100,762,15,400,5000,1.01615,1.21724
3.05012,100,762.3,15,400,5000,1.00887,1.20692
3.06114,100,762.6,15,400,5000,0.98767,1.18226
3.07486,100,762.9,15,400,5000,0.96051,1.15163
3.07952,100,763.2,15,400,5000,0.95226,1.14183
3.08565,100,763.5,15,400,5000,0.94041,1.12845
3.0917,100,763.8,15,400,5000,0.92734,1.1159
3.10164,100,764.1,15,400,5000,0.90938,1.09521
3.1147,100,764.4,15,400,5000,0.88736,1.06848
3.11774,100,764.7,15,400,5000,0.88262,1.06225
3.12174,100,765,15,401,5000,0.87449,1.05455
3.12699,100,765.3,15,400,5000,0.86589,1.04401
3.13388,100,765.6,15,400,5000,0.85343,1.03024
3.13892,100,765.9,15,400,5000,0.84349,1.02088
3.14956,100,766.2,15,400,5000,0.82568,1.00066
3.16353,100,766.5,15,400,5000,0.80401,0.97474
3.16777,100,766.8,15,404,5000,0.79758,0.96683
3.17335,100,767.1,15,400,5000,0.7889,0.95656
3.18012,100,767.4,15,400,5000,0.77762,0.94486
3.18478,100,767.7,15,401,5000,0.76923,0.93664
3.19568,100,768,15,400,5000,0.7526,0.91782
3.20954,100,768.3,15,400,5000,0.73285,0.894
3.21411,100,768.6,15,400,5000,0.72652,0.88664
3.2201,100,768.9,15,399,5000,0.7178,0.87657
3.22632,100,769.2,15,400,5000,0.70746,0.8668
3.2306,100,769.5,15,400,5000,0.70263,0.85993
3.24177,100,769.8,15,385,5000,0.68745,0.84222
3.25529,100,770.1,15,400,5000,0.66883,0.82105
3.26009,100,770.4,15,400,5000,0.66286,0.81401
3.26638,100,770.7,15,375,5000,0.65416,0.80437
3.27221,100,771,15,376,5000,0.64537,0.79599
3.28231,100,771.3,15,377,5000,0.63261,0.78131
3.29557,100,771.6,15,400,5000,0.61702,0.7622
3.29888,100,771.9,15,400,5000,0.61227,0.75779
3.30324,100,772.2,15,396,5000,0.60725,0.75161
3.30896,100,772.5,15,397,5000,0.60041,0.74356
3.31554,100,772.8,15,398,5000,0.59201,0.73497
3.32006,100,773.1,15,400,5000,0.5858,0.7289
3.33105,100,773.4,15,400,5000,0.57294,0.71431
3.3448,100,773.7,15,400,5000,0.55807,0.69631
3.34944,100,774,15,400,5000,0.5532,0.69073
3.35554,100,774.3,15,400,5000,0.54642,0.68291
3.36162,100,774.6,15,400,5000,0.53877,0.67575
3.37154,100,774.9,15,400,5000,0.52813,0.6637
3.38457,100,775.2,15,400,5000,0.51579,0.64807
3.38756,100,775.5,15,400,5000,0.51224,0.64474
3.39151,100,775.8,15,400,5000,0.50848,0.64005
3.39668,100,776.1,15,400,5000,0.50353,0.634
3.40348,100,776.4,15,400,5000,0.49637,0.62653
3.40864,100,776.7,15,400,5000,0.49042,0.6207
3.41919,100,777,15,400,5000,0.48022,0.6091
3.43305,100,777.3,15,400,5000,0.46765,0.59404
3.43714,100,777.6,15,400,5000,0.46409,0.58993
3.44252,100,777.9,15,400,5000,0.4592,0.58414
3.44955,100,778.2,15,400,5000,0.45231,0.57703
3.45438,100,778.5,15,400,5000,0.44721,0.57204
3.46516,100,778.8,15,400,5000,0.43761,0.56121
3.47919,100,779.1,15,400,5000,0.4258,0.54712
3.48364,100,779.4,15,400,5000,0.4222,0.54302
3.48948,100,779.7,15,400,5000,0.41723,0.53728
3.4959,100,780,15,400,5000,0.41099,0.53146
3.50031,100,780.3,15,400,5000,0.40809,0.52734
3.51138,100,780.6,15,400,5000,0.39936,0.51718
3.52502,100,780.9,15,400,5000,0.38835,0.50465
3.52973,100,781.2,15,400,5000,0.38415,0.50073
3.53592,100,781.5,15,400,5000,0.37996,0.4952
3.54189,100,781.8,15,400,5000,0.37469,0.49027
3.55188,100,782.1,15,400,5000,0.36733,0.48187
3.56502,100,782.4,15,400,5000,0.35821,0.47102
3.56816,100,782.7,15,400,5000,0.35558,0.46853
3.57228,100,783,15,400,5000,0.3528,0.46512
3.5777,100,783.3,15,400,5000,0.349,0.46066
3.58468,100,783.6,15,400,5000,0.34335,0.45538
3.58947,100,783.9,15,400,5000,0.34054,0.45165
3.60028,100,784.2,15,400,5000,0.33329,0.44339
3.61427,100,784.5,15,400,5000,0.32367,0.43278
3.61874,100,784.8,15,400,5000,0.32098,0.42973
3.62461,100,785.1,15,400,5000,0.31713,0.42536
3.63099,100,785.4,15,400,5000,0.31244,0.42113
3.63537,100,785.7,15,400,5000,0.31024,0.41808
3.64646,100,786,15,400,5000,0.3023,0.41047
3.66008,100,784.5,-20,400,5000,0.2949,0.40118
3.66481,100,783,-20,400,5000,0.29222,0.39823
3.67102,100,781.5,-20,400,5000,0.2885,0.39405
3.67696,100,780,-20,400,5000,0.28453,0.39049
3.68698,100,778.5,-20,400,5000,0.27873,0.38419
3.70014,100,777,-20,400,5000,0.27156,0.37587
3.70332,100,775.5,-20,400,5000,0.26994,0.37414
3.70749,100,774,-20,400,5000,0.26731,0.37151
3.71298,100,772.5,-20,400,5000,0.26437,0.36811
3.71987,100,771,-20,400,5000,0.26055,0.36439
3.7246,100,769.5,-20,400,5000,0.25845,0.36162
3.73545,100,768,-20,400,5000,0.25207,0.35559
3.74938,100,766.5,-20,400,5000,0.24559,0.34766
3.75389,100,765,-20,400,5000,0.24301,0.34539
3.75982,100,763.5,-20,400,5000,0.24042,0.34203
3.76613,100,762,-20,400,5000,0.2369,0.33891
3.77047,100,760.5,-20,400,5000,0.23525,0.33665
3.78159,100,759,-20,400,5000,0.22921,0.3309
3.79517,100,757.5,-20,400,5000,0.22348,0.32391
