时间量(s),阀门开度(%),海拔(m),坡度(‰),速度v（km/h）,隧道长度(m),每1s,每3s,预测最优开度,预测方式
1.09984,100,500,0,400,5000,224.71,1988.78,43.79256439,神经网络预测
1.10613,100,500,0,400,5000,225.88,1988.78,43.95879745,神经网络预测
1.11217,100,500,0,400,5000,224.61,1992.78,43.85848236,神经网络预测
1.12236,100,500,0,400,5000,225.36,1995.42,44.01852417,神经网络预测
1.13579,100,500,0,400,5000,226.88,1998.67,44.3014183,神经网络预测
1.13922,100,500,0,400,5000,226.15,1998.67,44.19709778,神经网络预测
1.14372,100,500,0,400,5000,226.71,2001.52,44.33505249,神经网络预测
1.14966,100,500,0,400,5000,226.82,2001.52,44.3507843,神经网络预测
1.15616,100,500,0,400,5000,225.38,2005.18,44.21893311,神经网络预测
1.16059,100,500,0,400,5000,226.95,2006.33,44.46736145,神经网络预测
1.17187,100,500,0,400,5000,227.76,2009.41,44.64627075,神经网络预测
1.18566,100,500,0,400,5000,226.72,2010.47,44.51882935,神经网络预测
1.19062,100,500,0,400,5000,227.11,2013.17,44.62994003,神经网络预测
1.19716,100,500,0,400,5000,227.16,2013.17,44.63711548,神经网络预测
1.20287,100,500,0,400,5000,228.48,2016.39,44.89229965,神经网络预测
1.21329,100,500,0,400,5000,226.22,2018.86,44.61835098,神经网络预测
1.22701,100,500,0,400,5000,228.19,2022.41,44.97412872,神经网络预测
1.23082,100,500,0,400,5000,228.67,2022.41,45.04295731,神经网络预测
1.23583,100,500,0,400,5000,229.24,2022.41,45.12457275,神经网络预测
1.24244,100,500,0,400,5000,228.96,2025.29,45.14357376,神经网络预测
1.24805,100,500,0,400,5000,227.77,2026.87,45.0052948,神经网络预测
1.25854,100,500,0,400,5000,228.21,2028.01,45.09184265,神经网络预测
1.27234,100,500,0,400,5000,229.54,2030.39,45.33114243,神经网络预测
1.27625,100,500,0,400,5000,230.15,2032.65,45.46448135,神经网络预测
1.28141,100,500,0,400,5000,228.99,2032.65,45.29880524,神经网络预测
1.2882,100,500,0,400,5000,228.93,2032.65,45.29021454,神经网络预测
1.29357,100,500,0,400,5000,230.13,2035.48,45.51953506,神经网络预测
1.30421,100,500,0,400,5000,227.92,2037.51,45.24501801,神经网络预测
1.31823,100,500,0,400,5000,230.91,2039.5,45.71228409,神经网络预测
1.32243,100,500,0,400,5000,229.98,2041.54,45.62195587,神经网络预测
1.32795,100,500,0,400,5000,230.42,2041.54,45.68441391,神经网络预测
1.335,100,500,0,400,5000,230.06,2041.54,45.63332367,神经网络预测
1.33979,100,500,0,400,5000,229.05,2043.99,45.53947449,神经网络预测
1.35083,100,500,0,400,5000,228.95,2045.94,45.56501389,神经网络预测
1.36495,100,500,0,400,5000,231.58,2048.7,45.99221039,神经网络预测
1.36969,100,500,0,400,5000,230.52,2048.7,45.84379959,神经网络预测
1.37593,100,500,0,400,5000,231.74,2050.97,46.05955505,神经网络预测
1.38203,100,500,0,400,5000,230.36,2051.49,45.87757874,神经网络预测
1.39218,100,500,0,400,5000,230.85,2053.13,45.97909927,神经网络预测
1.40556,100,500,0,400,5000,232.12,2054.99,46.1901207,神经网络预测
1.40891,100,500,0,400,5000,231.37,2054.99,46.08800888,神经网络预测
1.41332,100,500,0,400,5000,231.89,2056.73,46.19270706,神经网络预测
1.41913,100,500,0,400,5000,232.02,2056.73,46.21016312,神经网络预测
1.4258,100,500,0,400,5000,230.55,2058.72,46.0485611,神经网络预测
1.43034,100,500,0,400,5000,231.97,2059.38,46.25396729,神经网络预测
1.44155,100,500,0,400,5000,232.62,2061.17,46.37111664,神经网络预测
1.45543,100,500,0,400,5000,232.59,2061.8,46.37862396,神经网络预测
1.46033,100,500,0,400,5000,231.46,2063.4,46.26233292,神经网络预测
1.46678,100,500,0,400,5000,232.34,2063.4,46.37577057,神经网络预测
1.4726,100,500,0,400,5000,231.07,2065.22,46.24504089,神经网络预测
1.48294,100,500,0,400,5000,231.25,2066.63,46.29498672,神经网络预测
1.49656,100,500,0,400,5000,231.46,2067.4,46.33615494,神经网络预测
1.50023,100,500,0,400,5000,230.58,2068.73,46.24621964,神经网络预测
1.50506,100,500,0,400,5000,230.58,2068.73,46.24621964,神经网络预测
1.51142,100,500,0,400,5000,230.12,2070.43,46.21717453,神经网络预测
1.51735,100,500,0,400,5000,228.8,2070.83,46.04515457,神经网络预测
1.52762,100,500,0,400,5000,228.04,2072.02,45.96281815,神经网络预测
1.54114,100,500,0,400,5000,226.84,2073.35,45.82013702,神经网络预测
1.54467,100,500,0,400,5000,226.03,2073.35,45.7047081,神经网络预测
1.54932,100,500,0,400,5000,225.21,2074.63,45.61305618,神经网络预测
1.55545,100,500,0,400,5000,224,2074.63,45.43848419,神经网络预测
1.5617,100,500,0,400,5000,222.61,2076.02,45.26498795,神经网络预测
1.57175,100,500,0,400,5000,220.39,2077.15,44.9634819,神经网络预测
1.585,100,500,0,400,5000,217.31,2077.81,44.52339554,神经网络预测
1.58817,100,500,0,400,5000,216.59,2078.85,44.43820953,神经网络预测
1.59234,100,500,0,400,5000,215.63,2078.85,44.29619217,神经网络预测
1.59784,100,500,0,400,5000,214.39,2078.85,44.1125679,神经网络预测
1.60492,100,500,0,400,5000,212.83,2080.43,43.91333389,神经网络预测
1.60974,100,500,0,400,5000,211.74,2080.81,43.75931549,神经网络预测
1.62076,100,500,0,400,5000,209.12,2081.93,43.3932724,神经网络预测
1.63489,100,500,0,400,5000,205.82,2083.42,42.9352951,神经网络预测
1.63962,100,500,0,400,5000,204.74,2083.42,42.77674866,神经网络预测
1.64585,100,500,0,400,5000,203.32,2083.42,42.56956863,神经网络预测
1.65196,100,500,0,400,5000,201.94,2085,42.39986038,神经网络预测
1.6621,100,500,0,400,5000,199.72,2085.43,42.0904007,神经网络预测
1.67546,100,500,0,400,5000,196.51,2086.45,41.66138077,神经网络预测
1.67878,100,500,0,400,5000,195.72,2087.27,41.56789398,神经网络预测
1.68315,100,500,0,400,5000,194.72,2087.27,41.43312454,神经网络预测
1.68892,100,500,0,400,5000,193.4,2087.27,41.2581749,神经网络预测
1.69565,100,500,0,400,5000,191.91,2088.27,41.08065414,神经网络预测
1.70023,100,500,0,400,5000,190.91,2088.58,40.957901,神经网络预测
1.71141,100,500,0,400,5000,188.2,2089.43,40.63473511,神经网络预测
1.72534,100,500,0,400,5000,184.91,2090.6,40.26255798,神经网络预测
1.7302,100,500,0,400,5000,183.79,2090.6,40.13524246,神经网络预测
1.73661,100,500,0,400,5000,182.34,2090.6,39.97412109,神经网络预测
1.74249,100,500,0,400,5000,181.02,2091.84,39.84532928,神经网络预测
1.7528,100,500,0,400,5000,183.22,2092.16,40.09081268,神经网络预测
1.76637,100,500,0,400,5000,223.16,2092.93,45.6880722,神经网络预测
1.76998,100,500,0,400,5000,223.16,2093.66,45.70275879,神经网络预测
1.77474,100,500,0,400,5000,237.45,2093.66,47.22375488,神经网络预测
1.781,100,500,0,400,5000,250.81,2093.66,48.25201035,神经网络预测
1.78707,100,500,0,400,5000,250.81,2094.43,48.25933075,神经网络预测
1.79725,100,500,0,400,5000,275.24,2095.02,49.935009,神经网络预测
1.8,100,500,0,400,5000,275.24,2095.02,49.935009,神经网络预测
1.81427,100,500,0,400,5000,328.62,2095.7,55.90049744,神经网络预测
1.81879,100,500,0,400,5000,343.76,2096.23,57.7032814,神经网络预测
1.82475,100,500,0,400,5000,360.41,2096.23,59.33256149,神经网络预测
1.83109,100,500,0,400,5000,371.92,2097.02,60.09955978,神经网络预测
1.83544,100,500,0,400,5000,371.92,2097.28,60.10242462,神经网络预测
1.84669,100,500,0,400,5000,401.82,2097.96,60.92149353,神经网络预测
1.86023,100,500,0,400,5000,452.05,2098.18,62.89797592,神经网络预测
1.86506,100,500,0,400,5000,469.18,2098.76,63.72636795,神经网络预测
1.87143,100,500,0,400,5000,485.47,2098.76,64.21605682,神经网络预测
1.87724,100,500,0,400,5000,513.42,2099.48,64.90112305,神经网络预测
1.88747,100,500,0,400,5000,513.42,2100.05,64.90578461,神经网络预测
1.90094,100,500,0,400,5000,571.03,2100.34,65.98479462,神经网络预测
1.90442,100,500,0,400,5000,586.47,2100.84,66.17393494,神经网络预测
1.90899,100,500,0,400,5000,586.47,2100.84,66.17393494,神经网络预测
1.91502,100,500,0,400,5000,618.1,2100.84,66.46337891,神经网络预测
1.92127,100,500,0,400,5000,618.1,2101.64,66.46881104,神经网络预测
1.92557,100,500,0,400,5000,618.1,2101.87,66.47037506,神经网络预测
1.93685,100,500,0,400,5000,648.11,2102.47,66.56498718,神经网络预测
1.95035,100,500,0,400,5000,714.43,2102.71,66.18022919,神经网络预测
1.95523,100,500,0,400,5000,714.43,2103.23,66.18090057,神经网络预测
1.96165,100,500,0,400,5000,742.41,2103.23,66.51081085,神经网络预测
1.96739,100,500,0,400,5000,742.41,2103.92,66.50915527,神经网络预测
1.97767,100,500,0,400,5000,771.87,2104.42,67.16693878,神经网络预测
1.99121,100,500,0,400,5000,819.32,2104.73,69.24925232,神经网络预测
1.99477,100,500,0,400,5000,819.32,2105.22,69.23558807,神经网络预测
1.99946,100,500,0,400,5000,835.34,2105.22,69.88279724,神经网络预测
2.00564,100,500,0,400,5000,849.94,2105.85,70.0058136,神经网络预测
2.0117,100,500,0,400,5000,849.94,2106.19,70.0035553,神经网络预测
2.02176,100,500,0,400,5000,875.12,2106.47,70.65045929,神经网络预测
2.03501,100,500,0,400,5000,926.09,2107.13,72.85118103,神经网络预测
2.03819,100,500,0,400,5000,926.09,2107.13,72.85118103,神经网络预测
2.04237,100,500,0,400,5000,939.74,2107.66,73.39202118,神经网络预测
2.04788,100,500,0,400,5000,955.05,2107.66,73.92435455,神经网络预测
2.05481,100,500,0,400,5000,965.52,2108.47,74.21327972,神经网络预测
2.05956,100,500,0,400,5000,965.52,2108.67,74.21086884,神经网络预测
2.07053,100,500,0,400,5000,990.74,2109.38,74.69242859,神经网络预测
2.08444,100,500,0,400,5000,1031.87,2109.61,75.01105499,神经网络预测
2.08903,100,500,0,400,5000,1045.25,2110.22,75.07275391,神经网络预测
2.09507,100,500,0,400,5000,1058.32,2110.22,75.12947083,神经网络预测
2.10131,100,500,0,400,5000,1058.32,2111.08,75.12488556,神经网络预测
2.10559,100,500,0,400,5000,1079.4,2111.29,75.20776367,神经网络预测
2.11689,100,500,0,400,5000,1106.56,2112.01,75.31060791,神经网络预测
2.13038,100,500,0,400,5000,1131.47,2112.24,75.43695068,神经网络预测
2.13526,100,500,0,400,5000,1145.24,2112.9,75.51707458,神经网络预测
2.1417,100,500,0,400,5000,1155.18,2112.9,75.58191681,神经网络预测
2.14742,100,500,0,400,5000,1155.18,2113.78,75.57698822,神经网络预测
2.15772,100,500,0,400,5000,1175.85,2114.44,75.72387695,神经网络预测
2.17128,100,500,0,400,5000,1210.23,2114.8,76.0787735,神经网络预测
2.17486,100,500,0,400,5000,1220.51,2115.41,76.20410919,神经网络预测
2.17958,100,500,0,400,5000,1220.51,2115.41,76.20410919,神经网络预测
2.18579,100,500,0,400,5000,1241.24,2116.26,76.47708893,神经网络预测
2.1918,100,500,0,400,5000,1241.24,2116.47,76.47537231,神经网络预测
2.2019,100,500,0,400,5000,1260.58,2117.05,76.75307465,神经网络预测
2.2152,100,500,0,400,5000,1292.33,2117.85,77.25458527,神经网络预测
2.21844,100,500,0,400,5000,1292.33,2117.85,77.25458527,神经网络预测
2.22271,100,500,0,400,5000,1302.4,2118.6,77.41325378,神经网络预测
2.22833,100,500,0,400,5000,1312.74,2118.6,77.57926941,神经网络预测
2.23511,100,500,0,400,5000,1319.78,2119.6,77.68143463,神经网络预测
2.23977,100,500,0,400,5000,1319.78,2119.91,77.67894745,神经网络预测
2.25081,100,500,0,400,5000,1337.84,2120.32,77.95070648,神经网络预测
2.26464,100,500,0,400,5000,1366.59,2121.06,78.36621857,神经网络预测
2.26929,100,500,0,400,5000,1376.22,2121.83,78.49861145,神经网络预测
2.27541,100,500,0,400,5000,1385.02,2121.83,78.62377167,神经网络预测
2.28154,100,500,0,400,5000,1385.02,2122.77,78.61782837,神经网络预测
2.29156,100,500,0,400,5000,1400.04,2123.54,78.82910156,神经网络预测
2.30475,100,500,0,400,5000,1430.26,2123.94,79.29644775,神经网络预测
2.30785,100,500,0,400,5000,1430.26,2124.64,79.29141998,神经网络预测
2.31193,100,500,0,400,5000,1438.31,2124.64,79.42949677,神经网络预测
2.31731,100,500,0,400,5000,1447.48,2124.64,79.59474945,神经网络预测
2.32439,100,500,0,400,5000,1453.7,2125.84,79.70175934,神经网络预测
2.32927,100,500,0,400,5000,1453.7,2126.14,79.69930267,神经网络预测
2.34016,100,500,0,400,5000,1468.6,2127.02,79.98509216,神经网络预测
2.35419,100,500,0,400,5000,1492.73,2127.37,80.49123383,神经网络预测
2.3587,100,500,0,400,5000,1500.55,2128.14,80.65599823,神经网络预测
2.36463,100,500,0,400,5000,1508.2,2128.14,80.82736969,神经网络预测
2.37101,100,500,0,400,5000,1508.2,2129.2,80.81698608,神经网络预测
2.37539,100,500,0,400,5000,1520.57,2129.54,81.09720612,神经网络预测
2.38662,100,500,0,400,5000,1536.4,2130.43,81.46570587,神经网络预测
2.4002,100,500,0,400,5000,1550.7,2130.75,81.82388306,神经网络预测
2.40502,100,500,0,400,5000,1558.62,2131.57,82.02694702,神经网络预测
2.41138,100,500,0,400,5000,1564.57,2131.57,82.19613647,神经网络预测
2.41721,100,500,0,400,5000,1564.57,2132.58,82.18209839,神经网络预测
2.42744,100,500,0,400,5000,1576.52,2133.4,82.54117584,神经网络预测
2.44091,100,500,0,400,5000,1596.17,2133.81,83.26681519,神经网络预测
2.44438,100,500,0,400,5000,1601.97,2134.56,83.48117065,神经网络预测
2.44895,100,500,0,400,5000,1601.97,2134.56,83.48117065,神经网络预测
2.45496,100,500,0,400,5000,1614.59,2134.56,83.99633026,神经网络预测
2.46123,100,500,0,400,5000,1614.59,2135.75,83.9696579,神经网络预测
2.46554,100,500,0,400,5000,1625.79,2136.05,84.44137573,神经网络预测
2.47683,100,500,0,400,5000,1625.79,2136.98,84.41968536,神经网络预测
2.49034,100,500,0,400,5000,1650.17,2137.29,85.50959015,神经网络预测
2.49521,100,500,0,400,5000,1650.17,2138.13,85.48856354,神经网络预测
2.50163,100,500,0,400,5000,1660.64,2138.13,85.98499298,神经网络预测
2.50738,100,500,0,400,5000,1660.64,2139.14,85.95860291,神经网络预测
2.51766,100,500,0,400,5000,1671.07,2139.9,86.45294952,神经网络预测
2.5312,100,500,0,400,5000,1687.86,2140.67,87.31410217,神经网络预测
2.53476,100,500,0,400,5000,1687.86,2140.67,87.31410217,神经网络预测
2.53945,100,500,0,400,5000,1693.39,2141.53,87.59360504,神经网络预测
2.54562,100,500,0,400,5000,1698.66,2141.53,87.89138031,神经网络预测
2.55169,100,500,0,400,5000,1698.66,2142.51,87.86016083,神经网络预测
2.56174,100,500,0,400,5000,1706.88,2142.83,88.32433319,神经网络预测
2.57499,100,500,0,400,5000,1722.32,2141.66,89.2858429,神经网络预测
2.57816,100,500,0,400,5000,1726.35,2141.97,89.52139282,神经网络预测
2.58234,100,500,0,400,5000,1725.66,2141.28,89.50292969,神经网络预测
2.58784,100,500,0,400,5000,1730.13,2140.09,89.81965637,神经网络预测
2.59477,100,500,0,400,5000,1732.1,2139.42,89.96533966,神经网络预测
2.59954,100,500,0,400,5000,1730.6,2138.18,89.91559601,神经网络预测
2.61049,100,500,0,400,5000,1734.6,2134.55,90.29329681,神经网络预测
2.62442,100,500,0,400,5000,1740.99,2127.19,90.9616394,神经网络预测
2.62899,100,500,0,400,5000,1742.61,2125.26,91.13534546,神经网络预测
2.635,100,500,0,400,5000,1743.35,2121.32,91.32632446,神经网络预测
2.64126,100,500,0,400,5000,1741.89,2117.71,91.36376953,神经网络预测
2.64556,100,500,0,400,5000,1738.51,2114.61,91.25872803,神经网络预测
2.65682,100,500,0,400,5000,1736.03,2105.06,91.44717407,神经网络预测
2.67034,100,500,0,400,5000,1734,2090.69,91.84324646,神经网络预测
2.67519,100,500,0,400,5000,1732.65,2085.94,91.93043518,神经网络预测
2.68157,100,500,0,400,5000,1728.77,2078.08,91.96711731,神经网络预测
2.68734,100,500,0,400,5000,1727.9,2071.57,92.15106201,神经网络预测
2.69756,100,500,0,400,5000,1713.3,2057.71,91.70890808,神经网络预测
2.711,100,500,0,400,5000,1704.82,2036.5,91.93643951,神经网络预测
2.71448,100,500,0,400,5000,1702.53,2031.52,91.97029114,神经网络预测
2.71905,100,500,0,400,5000,1694.79,2023.78,91.75121307,神经网络预测
2.72506,100,500,0,400,5000,1691.29,2013.19,91.91155243,神经网络预测
2.7313,100,500,0,400,5000,1679.79,2002.68,91.5514679,神经网络预测
2.73559,100,500,0,400,5000,1678.07,1994.89,91.72362518,神经网络预测
